Distance_Num,Bill subtotal,Packaging charges,Total,Target_Beli,Status_Transaksi
5.0,658.0,32.9,690.9,1,Sukses (Delivered)
3.0,1157.0,57.85,1214.85,1,Sukses (Delivered)
10.0,609.0,30.45,639.45,1,Sukses (Delivered)
1.0,435.0,10.88,228.38,1,Sukses (Delivered)
1.0,585.0,25.3,531.32,1,Sukses (Delivered)
12.0,814.0,34.7,728.7,1,Sukses (Delivered)
4.0,887.0,23.68,497.18,1,Sukses (Delivered)
1.0,420.0,16.0,336.0,1,Sukses (Delivered)
4.0,1966.0,49.15,1032.15,1,Sukses (Delivered)
2.0,599.0,29.95,628.95,1,Sukses (Delivered)
3.0,579.0,28.95,607.95,1,Sukses (Delivered)
2.0,629.0,31.45,660.45,1,Sukses (Delivered)
1.0,325.0,11.25,236.25,1,Sukses (Delivered)
3.0,747.0,31.35,658.35,1,Sukses (Delivered)
7.0,719.0,35.95,754.95,1,Sukses (Delivered)
1.0,449.0,22.45,471.45,1,Sukses (Delivered)
9.0,928.0,46.4,974.4,1,Sukses (Delivered)
5.0,878.0,34.24,719.08,1,Sukses (Delivered)
4.0,679.0,33.95,712.95,1,Sukses (Delivered)
3.0,599.0,25.0,525.0,1,Sukses (Delivered)
10.0,799.0,34.95,654.05,1,Sukses (Delivered)
1.0,2234.0,102.7,2156.7,1,Sukses (Delivered)
4.0,898.0,44.9,942.9,1,Sukses (Delivered)
2.0,635.0,27.46,576.73,1,Sukses (Delivered)
3.0,495.0,24.75,519.75,1,Sukses (Delivered)
3.0,1307.0,57.51,1207.67,1,Sukses (Delivered)
9.0,579.0,28.95,607.95,1,Sukses (Delivered)
2.0,447.0,17.4,365.4,1,Sukses (Delivered)
2.0,908.0,39.27,824.69,1,Sukses (Delivered)
3.0,310.0,15.5,325.5,1,Sukses (Delivered)
10.0,609.0,30.45,639.45,1,Sukses (Delivered)
1.0,749.0,37.45,786.45,1,Sukses (Delivered)
8.0,310.0,10.5,220.5,1,Sukses (Delivered)
10.0,449.0,22.45,471.45,1,Sukses (Delivered)
4.0,259.0,7.95,166.95,1,Sukses (Delivered)
1.0,659.0,32.95,691.95,1,Sukses (Delivered)
9.0,1717.0,70.29,1476.09,1,Sukses (Delivered)
9.0,349.0,17.45,366.45,1,Sukses (Delivered)
3.0,310.0,11.5,241.5,1,Sukses (Delivered)
2.0,269.0,8.95,187.95,1,Sukses (Delivered)
1.0,1300.0,55.0,1155.0,1,Sukses (Delivered)
1.0,325.0,16.25,341.25,1,Sukses (Delivered)
4.0,1790.0,44.75,939.75,1,Sukses (Delivered)
2.0,879.0,37.95,796.95,1,Sukses (Delivered)
5.0,747.0,31.75,666.75,1,Sukses (Delivered)
1.0,1028.0,51.4,1079.4,1,Sukses (Delivered)
6.0,798.0,39.9,837.9,1,Sukses (Delivered)
1.0,1170.0,29.25,614.25,1,Sukses (Delivered)
2.0,569.0,14.23,298.73,1,Sukses (Delivered)
10.0,349.0,17.45,366.45,1,Sukses (Delivered)
1.0,310.0,11.5,241.5,1,Sukses (Delivered)
5.0,449.0,22.45,471.45,0,Gagal (Cancelled/Missed)
11.0,769.0,19.23,403.73,1,Sukses (Delivered)
2.0,649.0,27.8,583.8,1,Sukses (Delivered)
1.0,768.0,33.4,701.4,1,Sukses (Delivered)
6.0,957.0,47.85,1004.85,1,Sukses (Delivered)
2.0,310.0,15.5,325.5,1,Sukses (Delivered)
2.0,718.0,35.9,753.9,1,Sukses (Delivered)
1.0,945.0,38.5,808.5,1,Sukses (Delivered)
4.0,599.0,29.95,628.95,1,Sukses (Delivered)
2.0,310.0,15.5,325.5,1,Sukses (Delivered)
4.0,629.0,31.45,660.45,1,Sukses (Delivered)
16.0,908.0,45.4,953.4,1,Sukses (Delivered)
2.0,584.0,15.06,316.31,1,Sukses (Delivered)
5.0,310.0,15.5,325.5,1,Sukses (Delivered)
3.0,488.0,21.96,461.16,1,Sukses (Delivered)
6.0,2839.0,141.95,2980.95,1,Sukses (Delivered)
2.0,259.0,8.45,177.45,1,Sukses (Delivered)
5.0,1887.0,84.35,1771.35,1,Sukses (Delivered)
2.0,548.0,19.04,399.74,1,Sukses (Delivered)
1.0,1060.0,26.5,556.5,1,Sukses (Delivered)
2.0,599.0,25.3,531.3,1,Sukses (Delivered)
2.0,459.0,17.95,376.95,1,Sukses (Delivered)
1.0,2114.48,95.72,2010.2,1,Sukses (Delivered)
6.0,579.0,28.95,607.95,1,Sukses (Delivered)
2.0,415.0,20.75,435.75,1,Sukses (Delivered)
6.0,648.0,26.4,554.4,1,Sukses (Delivered)
